"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.10350839502943,0.185174667282416,-11.3595905201293,133.876288294938,0,-2.41021601060774,-1.79680077945113
"Status - 2",-0.143448731624524,0.0814789187762451,-1.76056253297197,133.876288294938,0.0805959864949302,-0.278403503054717,-0.00849396019433024
"Status - 3",-0.167305831654358,0.372788870070158,-0.448795136032015,133.876288294938,0.654305048540588,-0.784761702542839,0.450150039234124
"Body Size",0.560804873029987,0.0170185326123901,32.9525985466986,133.876288294938,0,0.532616818828021,0.588992927231954
"Status - 2:Body Size",0.0226734043355861,0.0121252812446315,1.86992811780137,133.876288294938,0.0636777616230961,0.0025901167383391,0.0427566919328331
"Status - 3:Body Size",0.0608618442853523,0.0598939989200987,1.01615930448299,133.876288294938,0.311386448702442,-0.038341496354199,0.160065184924903
