"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",0.0913806031747919,0.0274662557318711,3.32701348399506,24.1038866945526,0.00280845382745087,0.0443972025992561,0.138364003750328
"Population density",0.00194270710588437,0.0170142981036312,0.114180855069758,24.1038866945526,0.910040202687853,-0.0271617180155527,0.0310471322273215
"Home Range",0.0112209205275725,0.0143919225015246,0.779667937093453,24.1038866945526,0.443175035873236,-0.0133977048337494,0.0358395458888945
"Body Size",0.855364687054355,0.0247219855512982,34.5993522761135,24.1038866945526,0,0.813075597434052,0.897653776674657
