Names	Species	Order	Family	Common Name	Regime	Origin	Status	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play
Thylamys_elegans	Thylamys elegans	Didelphimorphia	Didelphidae	Elegant fat-tailed mouse opossum	0	3	1	26.17	0.72	1	2	2	4	1	1		12		0.11			1	
Thylamys_pallidior	Thylamys pallidior	Didelphimorphia	Didelphidae	White-bellied fat-tailed mouse opossum	0	3	1	16.9	0.57	1			4	1								1	
Thylamys_pusillus	Thylamys pusilla	Didelphimorphia	Didelphidae	Common fat-tailed mouse opossum	0	3	1	18.57	0.54	1	1		4	1			14.5					1	
Thylamys_venustus	Thylamys venustus	Didelphimorphia	Didelphidae	Buff-bellied fat-tailed mouse opossum	0	3	2	25.58	0.67	1	1		4	1								1	
Thylogale_billardierii	Thylogale billardierii	Diprotodontia	Macropodidae	Tasmanian pademelon	6	1	1	5450	22.1	1	2	3	1	2	1	1	1	290	170	2.5	1589.7		3
Thylogale_browni	Thylogale browni	Diprotodontia	Macropodidae	Brown's pademelon	6	2		5478	18.3	1				1									
Thylogale_brunii	Thylogale brunii	Diprotodontia	Macropodidae	Dusky pademelon	6	2		3620	17.5	1				1									
Thylogale_stigmatica	Thylogale stigmatica	Diprotodontia	Macropodidae	Red legged pademelon	6	1	1	4600	17.8	3	2	3	1	2	1	1	1	252.5	4	3.25	1338.6		3
Thylogale_thetis	Thylogale thetis	Diprotodontia	Macropodidae	Red necked pademelon	6	1	1	5400	19.2	3	2	3	1	2	1	1	1	210	30	3.6	1428		3
Tlacuatzin_canescens	Tlacuatzin canescens	Didelphimorphia	Didelphidae	Gray mouse opossum	0	3	1	17.48	0.58	1		2	3	1		1	11		0.11	2.25			
Trichosurus_caninus	Trichosurus caninus	Diprotodontia	Phalangeridae	Short eared brushtail possum	6	1	1	3500	11.8	1	1	1	1	1	1	2	1	242		0.55	1340		
Trichosurus_vulpecula	Trichosurus vulpecula	Diprotodontia	Phalangeridae	Common brushtail possum	6	1	1	2625	11	1	1	1	3	1	1	2	1	184.5	19.5	2.1	1136.3	0	2
Vombatus_ursinus	Vombatus ursinus	Diprotodontia	Vombatidae	Common wombat	5	1	2	26000	59	3	2	1	1	2	1	1	1	446	82	0.38	4901		3
Wallabia_bicolor	Wallabia bicolor	Diprotodontia	Macropodidae	Swamp wallaby	8	1	1	15000	32.9	1	2	3	1	2	1	1	1	450	82.6	0.31	2584.2	0	3
Wyulda_squamicaudata	Wyulda squamicaudata	Diprotodontia	Phalangeridae	Scaly tailed possum	0	1	2	1350	10.1	1	2	2	1	1	1	1	1	240	1	3.45	776.3		
