"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.06404971472175,0.210391780207637,-9.81050548973318,27.1345654596526,2.02988292841155e-10,-2.4223445051266,-1.70575492431691
"Torpor",-0.134310714729802,0.152581405633006,-0.880256110976267,27.1345654596526,0.386450608143714,-0.39415509979561,0.125533670336006
"Body Size",0.558895259180642,0.0212942810561655,26.2462610363087,27.1345654596526,0,0.52263134259459,0.595159175766693
"Torpor:Body Size",0.0195407854301167,0.0264816056411129,0.737900325793669,27.1345654596526,0.466909096370495,-0.0255570854724549,0.0646386563326883
