"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.36025846596578,0.332158831529973,-7.10581276762709,19.2338615607462,8.66569651813975e-07,-2.93424795202069,-1.78626897991086
"FMR",0.0364933634657314,0.0870144626394071,0.419394228945159,19.2338615607462,0.679575070323313,-0.113872611931285,0.186859338862748
"Body Size",0.610333615330975,0.0575790809584579,10.599919366051,19.2338615607462,1.792368697906e-09,0.510833665458719,0.709833565203231
"FMR : Body Size",-0.00640821106757886,0.00669362972770079,-0.957359658102873,19.2338615607462,0.350265725146178,-0.0179751866302869,0.0051587644951292
