"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",0.10185762026506,0.0257839665156233,3.95042478058376,159.22078196471,0.000116945450203687,0.0591985618714647,0.144516678658656
"Status - 2",-0.0164424264065108,0.0112839878462446,-1.45714676677739,159.22078196471,0.147045248112799,-0.0351115592629275,0.00222670644990593
"Status - 3",-0.00654293533854109,0.0470440398409331,-0.139081068731858,159.22078196471,0.889561847844628,-0.0843763610618092,0.071290490384727
"Body Size",0.842765247550541,0.023986587965622,35.1348532254111,159.22078196471,0,0.803079916123021,0.882450578978061
"Status - 2:Body Size",0.0318970646344164,0.0189970237390749,1.67905589172936,159.22078196471,0.0951025286635196,0.000466867713447131,0.0633272615553856
"Status - 3:Body Size",0.0850719159262322,0.0837571559700745,1.01569728509678,159.22078196471,0.311314493339642,-0.0535026282674976,0.223646460119962
