"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",0.0943383427459818,0.0252860158317827,3.73085041841211,46.1195758756964,0.000521840262794226,0.0518939705503984,0.136782714941565
"Parental Care",-0.00195211302267257,0.00987580093075567,-0.197666299306744,46.1195758756964,0.844174810211739,-0.0185293457992025,0.0146251197538573
"Mating System",0.00551490584655821,0.00814854378107752,0.67679649207566,46.1195758756964,0.501915700136036,-0.00816300321578366,0.0191928149089001
"Body Size",0.859378301370466,0.0231424291929984,37.1343169813161,46.1195758756964,0,0.820532091484647,0.898224511256284
