"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",-0.0930077369875857,0.29997642053391,-0.310050159349347,4.44549567892258,0.770522301731631,-0.714535050689095,0.528519576713923
"Functional.head.size",0.000148867308628938,0.000132470210466332,1.12377951318175,4.44549567892258,0.318099981434302,-0.000125600444236675,0.000423335061494552
"Sound.localization.threshold",-6.70593867822369e-05,0.00177624597877722,-0.0377534348189776,4.44549567892258,0.971519874985677,-0.0037472999526827,0.00361318117911823
"Lowest.audible.frequency.at.60.dB.SPL.kHz",0.0377655359006624,0.0476056752480711,0.793299027980756,4.44549567892258,0.467806547327929,-0.0608696414950067,0.136400713296331
"Highest.Audible.Frequency.at.60.dB.SPL.kHz",0.00442774842889411,0.00259989514806544,1.70304884494621,4.44549567892258,0.156556228856148,-0.00095902778640523,0.00981452464419344
"best.frequency.kHz",4.27071865187983e-05,0.00881893777961807,0.00484266785706338,4.44549567892258,0.996345782661133,-0.0182294313306056,0.0183148457036432
"best.sensitivity.dB",0.00421525861287613,0.00624441038749058,0.675045096542749,4.44549567892258,0.533141853228417,-0.00872266366407862,0.0171531808898309
