"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.22024834879762,0.213976169336676,-10.3761477536511,16.3422592589936,1.3308193214101e-08,-2.59334658632887,-1.84715011126636
"Play - 2",0.0979594781577674,0.180682411166701,0.542163885932361,16.3422592589936,0.595021911207635,-0.21708630179133,0.413005258106865
"Play - 3",0.0835400735617572,0.167315999820856,0.499295187855333,16.3422592589936,0.624226104630887,-0.20819944508398,0.375279592207495
"Body Size",0.573860839641791,0.0231320203790326,24.8080725435446,16.3422592589936,2.1094237467878e-14,0.533526833940556,0.614194845343027
"Play - 2:Body Size",-0.0047213375051906,0.030130184672131,-0.156697927894136,16.3422592589936,0.877402453741222,-0.0572576495277482,0.047814974517367
"Play - 3:Body Size",-0.00245298734406422,0.0232353508675229,-0.105571349365457,16.3422592589936,0.91720744436164,-0.0429671646188844,0.0380611899307559
