"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",0.0671304232194013,0.0331299123744775,2.02627832095074,167.984911300016,0.0443181504347399,0.0123343753387483,0.121926471100054
"Origin -2",0.0420203492007823,0.0163294657735796,2.57328376711316,167.984911300016,0.0109379601979938,0.0150118205249299,0.0690288778766348
"Origin - 3",0.0552374657397863,0.0414912912236319,1.33130264474211,167.984911300016,0.184893317653492,-0.0133880939906931,0.123863025470266
"Body Size",0.879695584201633,0.0251192695691867,35.0207469918128,167.984911300016,0,0.838148939511423,0.921242228891842
"Origin - 2:Body Size",-0.0436353470788601,0.0280086540266794,-1.55792374161556,167.984911300016,0.121133304503652,-0.0899609615196914,0.00269026736197125
"Origin - 3:Body Size",-0.072874045699253,0.0580331219666254,-1.25573195495432,167.984911300016,0.210956961444972,-0.168859380462673,0.0231112890641666
