"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",0.100031864048383,0.0299631853444759,3.33849231643276,24.8504836898384,0.00265553330983836,0.0488386809478032,0.151225047148964
"Torpor",-0.00816547821476868,0.0204970411833773,-0.398373508728211,24.8504836898384,0.6937570478263,-0.0431854125193911,0.0268544560898537
"Body Size",0.85209496657578,0.0325593653231153,26.1705029603523,24.8504836898384,0,0.796466116322974,0.907723816828586
"Torpor:Body Size",0.0205641110428981,0.0320249943911935,0.642126920982475,24.8504836898384,0.526670608246988,-0.0341517471949738,0.0752799692807699
