Names	Species	Order	Family	Common Name	Origin	Status	GeoArea	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Dimorphism	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play	"Status (Endangered, Vulnerable, Common, Abundant, Rare (or sparse), Declining, Limited)"	BodyM	BodyF	ased
Planigale_gilesi	Planigale gilesi	Dasyuromorphia	Dasyuridae	Giles planigale	1	2	I	9.2	0.17	3	2	2	4	1	1	1	1.666666667	6.1	75		7.4	31.2	1	1	R	11.5	6.9	0.018478261
Planigale_ingrami	Planigale ingrami	Dasyuromorphia	Dasyuridae	Long tailed planigale	1	1	N	4.2	0.15	1	2	2	4	1	1	1	1.210526316	6	90			20.2	1		C	4.6	3.8	0.035714286
Planigale_maculata	Planigale maculata	Dasyuromorphia	Dasyuridae	Common planigale	1	1	C	9.1	0.2	3	2	2	4	1	1	1	1.166666667	7.7	71			32.4	1	1	A	9.8	8.4	0.021978022
Planigale_novaeguineae	Planigale novaeguineae	Dasyuromorphia	Dasyuridae	New Guinean planigale	2		NG	14.9	0.27	1																		0.018120805
Planigale_tenuirostris	Planigale tenuirostris	Dasyuromorphia	Dasyuridae	Narrow nosed planigale	1	2	I	6.05	0.14	1	2	2	4	1	1	1	1.283018868	6	95			25.2	1	1	R	6.8	5.3	0.023140496
Potorous_tridactylus	Potorous tridactylus	Diprotodontia	Potoroidae	Long nosed potoroo	1	2	E	1100	9.53	3	2	3	2	1	1	1	1.156862745	1	158.5		0.99	531.2	0	3	R	1180	1020	0.008663636
Pseudantechinus_bilarni	Pseudantechinus bilarni	Dasyuromorphia	Dasyuridae	Sandstone pseudantechinus	1	1	S	27.5	0.65	1	2	2	4	1	1	1	1.2	4.8	100.5						C	30	25	0.023636364
Pseudantechinus_macdonnellensis	Pseudantechinus macdonnellensis	Dasyuromorphia	Dasyuridae	Fat tailed pseudantechinus	1	1	I	31.25	0.49	3	2	2	4	1	1	1	1.083333333	5.9	98	1.77	0.1	91.7	1		C	32.5	30	0.01568
Pseudocheirus_peregrinus	Pseudocheirus peregrinus	Diprotodontia	Pseudocheiridae	Common ringtail possum	1	1	E	800	4.52	1	1	1	2	2	2	2		2	195	1	13.74	598.2	0	2	C			0.00565
Pseudochirops_albertisii	Pseudochirops albertisii	Diprotodontia	Pseudocheiridae	D'Albertis' ringtail possum	2		NG	784.5	4.68	1																		0.005965583
Pseudochirops_archeri	Pseudocheirus archeri	Diprotodontia	Pseudocheiridae	Green ringtail possum	1	2	N	1155.5	5.87	1	1	2	1	1	1	2	0.911861614	1	180		1.5	656.8			L	1107	1214	0.005080052
Pseudochirops_corinnae	Pseudochirops corinnae	Diprotodontia	Pseudocheiridae	Plush-coated ringtail possum	2		NG	1123	5.36	1																		0.00477293
Pseudochirops_cupreus	Pseudochirops cupreus	Diprotodontia	Pseudocheiridae	Coppery ringtail possum	2		NG	1700	7.54	1																		0.004435294
Pseudochirulus_canescens	Pseudochirulus canescens	Diprotodontia	Pseudocheiridae	Lowland ringtail possum	2		NG	300	1.8	1	1					2		2	155									0.006
Pseudochirulus_caroli	Pseudochirulus caroli	Diprotodontia	Pseudocheiridae	Weyland ringtail possum	2		NG	440	3.2	1																		0.007272727
Pseudochirulus_forbesi	Pseudochirulus forbesi	Diprotodontia	Pseudocheiridae	Painted ringtail possum	2		NG	650	3.36	1																		0.005169231
Pseudochirulus_herbertensis	Pseudochirulus herbertensis	Diprotodontia	Pseudocheiridae	Herbert River ringtail possum	1	2	N	1110.5	4.32	1	1	1	1	1	1	1	1.109211776	1.8	160	1	9	444.3			L	1168	1053	0.00389014
Pseudochirulus_mayeri	Pseudochirulus mayeri	Diprotodontia	Pseudocheiridae	Pygmy ringtail possum	2		NG	154.5	2.01	1	1		1	1	1	2		1	155									0.013009709
Rhyncholestes_raphanurus	Rhyncholestes raphanurus	Paucituberculata	Caenolestidae	Chilean shrew opossum	3	2	Am	25.85	0.69	1		1	4	2	2	2		6							E			0.026692456
Sarcophilus_harrisii	Sarcophilus harrisii	Dasyuromorphia	Dasyuridae	Tasmanian devil	1	2	T	7000	16.26	1	2	1	4	1	1	1	1.571428571	2.9	210	700	0.06		0	3	E	11000	7000	0.002322857
Setonix_brachyurus	Setonix brachyurus	Diprotodontia	Macropodidae	Quokka	1	2	W	3000	13.9	3	2	3	1	2	1	1	1.352941176	1	440	6.39	11.4	638.1	0	3	V	3450	2550	0.004633333
Sminthopsis_crassicaudata	Sminthopsis crassicaudata	Dasyuromorphia	Dasyuridae	Fat tailed dunnart	1	1	N	15	0.36	1	2	2	4	1	1	1		7.4	67.5		0.5	68	1	2	C			0.024
Sminthopsis_griseoventer	Sminthopsis griseoventer	Dasyuromorphia	Dasyuridae	Grey bellied dunnart	1	2	W	17.5	0.49	1			4	1	1	1	1.1875	8	70			57.1			V	19	16	0.028
Sminthopsis_leucopus	Sminthopsis leucopus	Dasyuromorphia	Dasyuridae	White footed dunnart	1	2	N	24	0.41	1	2	2	4	1	1	1	1	8	85	1	6.18	67.4			R	24	24	0.017083333
Spilocuscus_maculatus	Spilocuscus maculatus	Diprotodontia	Phalangeridae	Common spotted cuscus	2	2	N	3200	13.4	1	1	2	3	1	1	2		1	240		0.41	1266.8	0		L			0.0041875
Spilocuscus_rufoniger	Spilocuscus rufoniger	Diprotodontia	Phalangeridae	Black-spotted cuscus	2	1	NG	6500	16.8	1	1		4	1														0.002584615
Tarsipes_rostratus	Tarsipes rostratus	Diprotodontia	Tarsipedidae	Honey possum	1	2	W	10.5	0.36	3	1	1	3	1	1	1	0.75	2.6	82	0.54	297	37.3	1	2	L	9	12	0.034285714
Thylacinus_cynocephalus	Thylacinus cynocephalus	Dasyuromorphia	Thylacinidae	Thylacine	1	3	T	25000	51.19	3	2	3	4	2	2	2		3							X			0.0020476
Thylamys_elegans	Thylamys elegans	Didelphimorphia	Didelphidae	Elegant fat-tailed mouse opossum	3	1	Am	26.17	0.72	1	2	2	4	1	1			12		0.11			1		C			0.027512419
Thylamys_pallidior	Thylamys pallidior	Didelphimorphia	Didelphidae	White-bellied fat-tailed mouse opossum	3	1	Am	16.9	0.57	1			4	1									1		C			0.033727811
Thylamys_pusillus	Thylamys pusilla	Didelphimorphia	Didelphidae	Common fat-tailed mouse opossum	3	1	Am	18.57	0.54	1	1		4	1				14.5					1		C			0.02907916
Thylamys_venustus	Thylamys venustus	Didelphimorphia	Didelphidae	Buff-bellied fat-tailed mouse opossum	3	2	Am	25.58	0.67	1	1		4	1									1		L			0.026192338
Thylogale_billardierii	Thylogale billardierii	Diprotodontia	Macropodidae	Tasmanian pademelon	1	1	T	5450	22.1	1	2	3	1	2	1	1	1.794871795	1	290	170	2.5	1589.7		3	A	7000	3900	0.004055046
Thylogale_browni	Thylogale browni	Diprotodontia	Macropodidae	Brown's pademelon	2		NG	5478	18.3	1				1														0.003340635
Thylogale_brunii	Thylogale brunii	Diprotodontia	Macropodidae	Dusky pademelon	2		NG	3620	17.5	1				1														0.004834254
Thylogale_stigmatica	Thylogale stigmatica	Diprotodontia	Macropodidae	Red legged pademelon	1	1	E	4600	17.8	3	2	3	1	2	1	1	1.243902439	1	252.5	4	3.25	1338.6		3	C	5100	4100	0.003869565
Thylogale_thetis	Thylogale thetis	Diprotodontia	Macropodidae	Red necked pademelon	1	1	E	5400	19.2	3	2	3	1	2	1	1	1.842105263	1	210	30	3.6	1428		3	C	7000	3800	0.003555556
Tlacuatzin_canescens	Tlacuatzin canescens	Didelphimorphia	Didelphidae	Gray mouse opossum	3	1	Am	17.48	0.58	1		2	3	1		1		11		0.11	2.25				C			0.033180778
Trichosurus_caninus	Trichosurus caninus	Diprotodontia	Phalangeridae	Short eared brushtail possum	1	1	E	3500	11.8	1	1	1	1	1	1	2		1	242		0.55	1340			C			0.003371429
Trichosurus_vulpecula	Trichosurus vulpecula	Diprotodontia	Phalangeridae	Common brushtail possum	1	1	C	2625	11	1	1	1	3	1	1	2	1.234042553	1	184.5	19.5	2.1	1136.3	0	2	A	2900	2350	0.004190476
Vombatus_ursinus	Vombatus ursinus	Diprotodontia	Vombatidae	Common wombat	1	2	N	26000	59	3	2	1	1	2	1	1		1	446	82	0.38	4901		3	V			0.002269231
Wallabia_bicolor	Wallabia bicolor	Diprotodontia	Macropodidae	Swamp wallaby	1	1	E	15000	32.9	1	2	3	1	2	1	1	1.307692308	1	450	82.6	0.31	2584.2	0	3	C	17000	13000	0.002193333
Wyulda_squamicaudata	Wyulda squamicaudata	Diprotodontia	Phalangeridae	Scaly tailed possum	1	2	N	1350	10.1	1	2	2	1	1	1	1		1	240	1	3.45	776.3			L			0.007481481
