"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.34361221307046,0.236644890837141,-9.90349804206563,167.979843480181,0,-2.73501701945559,-1.95220740668533
"Origin - 2",0.312951584570541,0.123524604073045,2.53351619233265,167.979843480181,0.0122077420721527,0.108644939411303,0.517258229729778
"Origin - 3",0.385078492111477,0.305340557158089,1.26114426362333,167.979843480181,0.209005547488517,-0.119947250186242,0.890104234409196
"Body Size",0.584147758208465,0.0179078698956973,32.6196114675156,167.979843480181,0,0.554528583568776,0.613766932848155
"Origin - 2:Body Size",-0.0309814908181894,0.0185307337290599,-1.6718976847422,167.979843480181,0.0964062060543396,-0.0616308668589705,-0.000332114777408403
"Origin - 3:Body Size",-0.0469437418216327,0.0403387944887898,-1.16373685472129,167.979843480181,0.246180969264852,-0.113663111890603,0.0197756282473379
